eps=0.5, betti=[8, 252, 1]
eps=0.6, betti=[1, 177, 2]
eps=0.7, betti=[1, 108, 1]
eps=0.8, betti=[1, 56, 6]
eps=0.9, betti=[1, 23, 2]
eps=1.0, betti=[1, 6, 2]
eps=1.1, betti=[1, 3, 3]
eps=1.2000000000000002, betti=[1, 3, 3]
eps=1.3, betti=[1, 3, 4]
eps=1.4, betti=[1, 3, 14]
eps=1.5, betti=[1, 2, 3]
eps=1.6, betti=[1, 2, 2]
eps=1.7000000000000002, betti=[1, 2, 2]
eps=1.8, betti=[1, 2, 48]
eps=1.9000000000000001, betti=[1, 2, 1]
eps=2.0, betti=[1, 2, 1]
eps=2.1, betti=[1, 2, 13]
eps=2.2, betti=[1, 2, 0]
eps=2.3, betti=[1, 2, 0]
