eps=0.5, betti=[1, 86, 0]
eps=0.6025641025641025, betti=[1, 51, 0]
eps=0.7051282051282051, betti=[1, 20, 0]
eps=0.8076923076923077, betti=[1, 3, 0]
eps=0.9102564102564102, betti=[1, 2, 0]
eps=1.0128205128205128, betti=[1, 2, 1]
eps=1.1153846153846154, betti=[1, 2, 1]
eps=1.217948717948718, betti=[1, 2, 1]
eps=1.3205128205128205, betti=[1, 2, 1]
eps=1.423076923076923, betti=[1, 2, 1]
eps=1.5256410256410255, betti=[1, 2, 1]
eps=1.6282051282051282, betti=[1, 2, 1]
eps=1.7307692307692308, betti=[1, 2, 1]
eps=1.8333333333333333, betti=[1, 0, 1]
eps=1.935897435897436, betti=[1, 0, 0]
eps=2.0384615384615383, betti=[1, 0, 0]
